dataset,speaker,gender,f0,f1,f2,pitch_divergence,resonance_score,sample
librispeech,ls-1630,female,163.4658269365221,374.3271531516648,1895.3682052643421,1.88,71.1,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/dev-other/1630/102884/1630-102884-0004.flac
librispeech,ls-6070,female,163.4884145662182,377.91984223892706,1851.7538777745817,1.88,64.7,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-other/6070/63485/6070-63485-0003.flac
librispeech,ls-8463,female,165.64323659430255,468.205438808775,1709.310954975443,1.77,55.4,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-clean/8463/287645/8463-287645-0005.flac
librispeech,ls-121,female,166.01117350841878,551.7763683066173,1750.7427178134494,1.75,75.5,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-clean/121/121726/121-121726-0000.flac
vctk,vctk-p255,male,154.40311687522143,441.5980375470604,1551.262947117627,1.7,24.4,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/vctk/p255_003.flac
librispeech,ls-2277,female,167.36316303700443,530.0627357134201,1667.8086441450018,1.68,59.0,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/dev-clean/2277/149874/2277-149874-0000.flac
librispeech,ls-2078,male,153.76015357457956,390.24665610240515,1724.54701076843,1.67,44.2,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/dev-clean/2078/142845/2078-142845-0005.flac
librispeech,ls-2033,male,150.18051175551807,460.33020564158505,1458.526732910189,1.51,15.8,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-other/2033/164914/2033-164914-0000.flac
librispeech,ls-6267,male,147.50052138484955,458.83000498173794,1535.5814204316648,1.38,24.6,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/dev-other/6267/53049/6267-53049-0001.flac
vctk,vctk-p262,female,173.040574875341,489.47209392982734,1691.7079726347617,1.38,56.1,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/vctk/p262_003.flac
vctk,vctk-p273,male,146.86944757302876,372.42690992039417,1668.0965193052925,1.36,31.5,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/vctk/p273_003.flac
librispeech,ls-3570,female,174.58018777106108,425.13959004609944,1752.438430089987,1.3,55.5,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-clean/3570/5694/3570-5694-0003.flac
librispeech,ls-2961,female,175.6663102605262,537.4106212685192,1725.5050366324374,1.24,69.8,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-clean/2961/960/2961-960-0000.flac
librispeech,ls-260,male,142.68041793130692,425.2348416634493,1617.2703850469643,1.16,31.8,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/test-clean/260/123286/260-123286-0002.flac
librispeech,ls-251,male,142.11744387467303,342.15868758710934,1469.418560566674,1.14,8.0,/Users/alexiswinters/Documents/workspace/claude-playground/voice-tools/data-explorer/data/raw/LibriSpeech/dev-clean/251/118436/251-118436-0003.flac
