speaker,gender,n_clips,f0,f1,f2,f3,f4
ls-101,male,4,159.28828817679755,531.2256696141452,1852.0927090767232,2659.1214934334957,3723.6594510866057
ls-1018,male,4,141.27146942338467,581.769391527795,1870.1413969352036,2848.7549013976914,3982.1526910334587
ls-102,female,4,154.87574982896476,749.4247211159357,2009.9727625898076,3245.455029390157,4363.660738024428
ls-1028,male,1,171.27678179134148,428.5552895176212,1438.2919338073066,2534.142572920118,4096.541538605232
ls-1040,male,3,152.7945821679371,489.50309306208305,1522.9131732623391,2576.632149531598,3694.7031550623915
ls-1050,female,1,178.050112508711,556.330632329775,1855.0474664878675,2886.0009215537057,3990.0421611039123
ls-1051,female,4,171.19828509593725,522.5359988930677,1649.3963469556816,2419.6862675189695,3467.8878775320545
ls-1066,female,4,175.50121058694498,435.22526140667355,1715.019961452696,2699.7334686341956,4114.25368199853
ls-1069,female,1,173.888714567207,478.8052946359585,1706.6258057044552,3171.3563484615943,4338.319373236016
ls-107,male,2,152.1190780428742,362.9882909077194,1588.7626193678875,2641.0690178362547,4075.3782969956274
ls-1079,female,4,169.4140866681545,537.349920286312,1628.9704373430832,2818.6527352774197,3872.582875865439
ls-1084,female,4,161.56552528017951,473.7756151239881,1650.294393237894,2855.1295812379785,4020.341447176795
ls-1085,male,1,163.2333531837578,710.3074227735907,1804.3028396086931,2678.267037377338,3709.82979460577
ls-1093,female,1,179.25359031014497,313.39415359378364,2095.7526372940947,3085.9152070124783,4240.877482855173
ls-1094,male,3,140.96716957140043,390.46074853802475,1503.9400349959244,2658.044135257583,3522.272212568964
ls-1097,male,4,145.3537175386532,288.5542853231627,1515.8525945408257,2754.2349291066184,4034.403258805037
ls-1098,female,3,171.12148716667676,439.7509500471509,1811.0242206499906,2954.9341730279602,4192.493155968055
ls-110,female,4,172.16631312964213,385.45822248368603,1747.792145978932,2930.9357887494107,4135.44490867889
ls-1107,male,1,144.444088050098,457.6379519808279,1668.042328909452,2614.3116861520057,3870.027535419599
ls-1116,female,2,173.35503567141626,556.5022411883588,1872.2277081552038,2910.9713121432187,3766.322105212458
ls-1121,male,4,178.76156935842045,503.8796206838437,1595.8598762016318,2523.824122158664,3917.2538529032327
ls-1124,female,3,176.94420670942202,557.3669079123113,1811.776023209723,2705.50999156244,3991.2795509050343
ls-1152,female,4,146.6389532003596,392.172786237993,1756.1327167393824,2885.9576901018672,4412.72846501093
ls-1154,female,4,170.06109643148704,478.6989230022692,1659.7558177478004,2692.3725724169935,3847.8344595995786
ls-1165,male,4,144.8750755264801,437.20014430601043,1611.5797562247933,2791.7680425346107,3782.869804429087
ls-1166,female,4,179.4596750196217,472.95764546804315,1725.1307709394937,2783.0250740731703,3670.7681139095694
ls-1168,female,3,162.95084376569676,402.7285016830946,1942.8007023797672,2950.451014193232,4102.868191705028
ls-118,male,4,142.4479075500517,470.9845604705436,1533.4834911762405,2671.445943449551,3965.588657426354
ls-1182,male,2,140.87630095463436,554.8484138457687,1681.312802819872,2808.846861389844,3674.5219752534913
ls-1183,female,1,178.53930661386156,496.1074019628808,2147.446224880129,3006.8341728657606,4110.924578468417
ls-1187,male,1,143.89709021841668,417.56525719128604,1604.2514540084467,2564.5850083552714,3828.0788548666396
ls-1212,female,2,179.46004307417007,462.3889965928563,1505.2544866047263,2932.869275445655,4141.602174192558
ls-123,female,4,160.22900527451776,400.6322827625594,1745.0260562570293,2737.175686606919,3863.857357439471
ls-1235,male,1,184.81003966770297,444.70865912430173,1513.071424064789,2590.9262143383726,3653.2482130358317
ls-1241,female,2,178.40042114664135,512.7494552723183,1805.3670957334539,2708.456903802985,3682.3912240795917
ls-125,female,1,165.79032531580367,552.8951843968296,1956.1212796192417,2995.7828512379433,4066.899588732461
ls-1250,female,4,175.89117802725846,501.6702559814236,1825.5621196882935,2789.9133894791185,3888.8863399551983
ls-1259,female,4,169.33717312184322,558.3239487819575,1851.4957434357402,2987.0170347734884,4071.4100111243706
ls-126,female,4,175.35934306952535,471.14845168491524,1675.9863039961392,2787.4399594857155,4115.56006454054
ls-1263,female,4,154.57066448170679,447.87932724897473,1903.5176593471303,2905.5171249445248,3986.0411673922295
ls-127,male,3,159.64733093594248,423.0924288829906,1772.3717291715102,2814.719490199687,3866.0240817481413
ls-1271,male,2,146.9829461074563,726.0595947713509,1938.9534455432222,2869.5642972569826,3666.332674456641
ls-1274,male,3,151.85175132216074,552.2522972192531,1572.4211746337369,2711.320656762752,3663.7254993821207
ls-128,male,1,140.98179334652474,439.53641370918245,1648.5918817896238,2509.9436011250964,3711.834434900304
ls-1280,male,3,144.4701537323005,417.09274250804407,1873.2802415040958,2806.8660689605695,4001.508179807277
ls-1283,male,2,160.91306134688455,499.774272999711,1643.0337120247548,2631.005616951953,3514.339848855001
ls-1289,female,4,144.63512109277903,434.4737558721961,1653.3439403567968,2900.2962717134988,3998.357296766382
ls-1290,female,4,138.01280946243403,537.2696081518911,1539.7011080877915,2763.011123963345,3886.6724525998898
ls-1291,female,2,178.9488768419556,504.38500771474776,1760.3850195938853,2752.365904353298,3959.054622179527
ls-1296,female,1,171.579624684947,420.912620319419,1888.3711676764424,2959.3948822591665,4302.498577161125
ls-1313,male,2,188.85521835852487,501.74816417179045,1547.0576572187326,2681.8767143624555,3668.8727160290664
ls-1323,male,4,149.4475863310081,574.0673921823072,1830.7820569320356,2690.0461833596873,3505.3726933060325
ls-1331,male,2,150.52647807974057,462.29790576395993,1941.7488123723535,2714.8582758900134,3921.572420933163
ls-1334,male,1,142.36117619132023,535.6755906075388,1848.487534227183,2800.9120076689496,3640.2704933476152
ls-1337,male,4,142.82395147033833,464.76320225381664,1581.6717709269496,2482.2888233014182,3871.2266505326925
ls-1342,female,3,179.4451012240081,566.3042068090004,1583.0345852464416,2584.9717987629556,3935.9462192942674
ls-1343,female,4,175.50386596453566,587.9202144808501,1801.1218361925357,2907.7936494578303,3927.784933577017
ls-1347,male,3,140.99309368098145,325.86050730058423,2027.9546741389768,2824.8264711696356,3797.6919847983486
ls-1353,male,1,144.62396330835602,531.58639106362,1720.0942967790172,2689.8923331109922,3588.2504232170068
ls-1355,male,4,162.6073244899875,386.60542028385737,1644.108296976951,2570.905908210081,3504.013285464139
ls-1363,female,4,164.62377588161678,506.02103926237135,1670.637856120126,2660.0867766996676,4077.4450060717577
ls-1367,male,4,153.8200325800865,521.4866200936326,1804.7864278915831,2845.6648383687416,3788.8232188749275
ls-1370,female,2,173.2906035921468,581.3428667823132,1596.8825643761434,3061.4164688935466,3854.6269443329074
ls-1379,male,4,171.0702946214409,503.66986994103263,1636.5687570327805,2486.891506323175,3677.7334822996927
ls-1387,male,4,150.87825346432072,487.3787996762402,1697.3891349792461,2673.2892056161377,3778.6401608255924
ls-1390,female,4,167.04075423764328,440.41868625155576,1832.6947778442561,2935.538894600174,4058.851025628791
ls-1401,female,3,177.66203584342827,545.2691878410375,1864.4954440178967,2877.5215475155796,3983.104739660385
ls-1403,male,4,144.48666103781326,666.1291738870649,1721.138815219727,2564.9021155649325,3539.615415244175
ls-1417,female,4,166.22065802028146,518.1725349668527,1728.3955951659968,2835.719558657429,3702.0512339064476
ls-1446,male,1,154.21845688851374,315.73178858899166,1844.576284853343,2908.9818232603557,3887.167802447257
ls-1447,female,4,165.2039103910524,473.98592044199984,1588.1854922067575,2830.852177134773,3817.5805574938768
ls-1460,female,3,173.67083289346235,504.201448902087,1791.7663485692785,2848.0697622317257,3916.1841246132185
ls-1469,male,1,140.1238506411998,658.2685189140849,1884.6110688142344,2801.3078497448414,3839.9741090769703
ls-147,male,4,155.9099830714926,515.6570052072134,1592.8685466413754,2852.9808545698493,3817.2155103968526
ls-1472,female,4,167.3695313872151,565.9849253380866,1786.2660125850152,2720.325122313433,3713.372589148504
ls-1473,male,1,146.7784766542034,604.3184502091199,1666.977121585177,2668.813784455359,3432.7275410229054
