dataset,speaker,gender,f0,f1,f2
librispeech,ls-2033,male,150.18051175551807,460.33020564158505,1458.526732910189
librispeech,ls-6319,female,161.1709330356358,436.25732747809417,1516.997206939533
librispeech,ls-2078,male,153.76015357457956,390.24665610240515,1724.54701076843
librispeech,ls-3576,female,162.13157058462463,374.051904880923,1795.6460739758172
vctk,vctk-p255,male,154.40311687522143,441.5980375470604,1551.262947117627
librispeech,ls-3915,female,162.9439243463192,478.2723585684105,1694.5090291145539
librispeech,ls-6930,male,159.06082780369766,615.1878902815474,2206.8175114579744
librispeech,ls-1630,female,163.4658269365221,374.3271531516648,1895.3682052643421
librispeech,ls-8188,male,173.98356577130437,507.86789852984964,1644.0741771702956
librispeech,ls-3570,female,174.58018777106108,425.13959004609944,1752.438430089987
librispeech,ls-1688,male,177.16233723106043,459.21169817621353,1844.6049921752192
librispeech,ls-1988,female,175.88443834646222,550.0485295062092,1541.8725492924727
librispeech,ls-4852,male,194.20372153138834,525.7170688928259,1782.6659638912759
librispeech,ls-3729,female,194.08080016186284,541.9511575545705,1723.0977908275238
librispeech,ls-7976,male,211.47808064915142,511.7775411916487,1625.836374731397
vctk,vctk-p233,female,211.34283565226332,485.1880334632581,1860.680446530096
librispeech,ls-7105,male,228.7648120815163,577.6262760881239,1957.5171318587968
vctk,vctk-p276,female,229.3908647756668,480.0615038980113,1918.7125986761498
