speaker,gender,pitch,n,kept
ls-7339,male,82.53592432927337,12,0
ls-4071,female,88.50894170128836,12,1
ls-6925,male,99.05023718775311,12,0
ls-2053,female,104.86893638187465,12,1
ls-5519,male,114.5004203225003,12,0
ls-7117,female,120.49110033170967,12,1
ls-4077,male,124.20437252473616,4,1
ls-6937,female,130.15962997617032,12,1
ls-8592,male,124.53597245775825,12,0
ls-7481,female,130.50638251974624,12,1
ls-8322,male,126.21684827888745,12,0
ls-8778,female,132.18158317571505,12,1
ls-7065,male,128.4471524001695,12,0
ls-6902,female,134.44393970969392,12,1
ls-8215,male,133.96487569827292,12,1
ls-339,female,139.7694750958002,12,1
ls-8753,male,133.98484523616526,12,1
ls-1290,female,139.97514073330524,12,1
ls-5185,male,134.6248163199998,12,1
ls-2748,female,140.6094535080129,12,1
ls-7247,male,136.00222274075804,12,1
ls-8324,female,141.9843353762363,12,1
ls-557,male,137.4694630619369,12,1
ls-7199,female,143.4107333348677,12,1
ls-3082,male,138.16037395360627,12,1
ls-1933,female,144.13729307291678,12,1
ls-2051,male,140.03955081319975,12,1
ls-28,female,145.87573278834412,12,1
ls-5970,male,140.39004279053393,12,1
ls-4396,female,146.23895753975722,12,1
ls-6157,male,140.77583711879316,12,1
ls-6111,female,146.7592679987166,12,1
ls-118,male,140.84816820727167,12,1
ls-3008,female,146.83335551861865,12,1
ls-8630,male,141.59764573808172,12,1
ls-3215,female,147.5527930447505,12,1
ls-4059,male,142.2739078143045,12,1
ls-4192,female,148.1966158721152,12,1
ls-511,male,142.42449455741087,12,1
ls-2256,female,148.40198462245104,12,1
ls-2292,male,142.77347380363562,12,1
ls-77,female,148.69266597162823,12,1
ls-1708,male,142.8790995788633,12,1
ls-2288,female,148.80891195400142,12,1
ls-3541,male,143.22873748161948,12,1
ls-3318,female,148.92103512005673,12,1
ls-90,male,143.37592813958543,12,1
ls-2488,female,148.94287089156933,12,1
ls-2618,male,143.41343153527077,12,1
ls-4800,female,149.25051983295424,12,1
ls-7121,male,143.96373817866706,12,1
ls-2691,female,149.78129349878407,12,1
ls-2588,male,144.16241539450766,12,1
ls-5036,female,150.10802004532553,12,1
ls-839,male,144.90000428212764,12,1
ls-6300,female,150.6839731081355,12,1
ls-6670,male,144.95336965566025,12,1
ls-8644,female,150.8331538759455,12,1
ls-8316,male,145.2071923288245,12,1
ls-2010,female,151.175482377719,12,1
ls-3587,male,145.25255407190014,12,1
ls-1289,female,151.23220801583386,12,1
ls-1844,male,145.40469092568998,12,1
ls-4443,female,151.25769438292483,12,1
ls-3912,male,145.81831174515668,12,1
ls-225,female,151.66784586450427,12,1
ls-8262,male,145.9464989613769,12,1
ls-5723,female,151.73678472161487,12,1
ls-1572,male,146.13338654795132,12,1
ls-1152,female,152.13077347555495,12,1
ls-2074,male,146.2275751016503,12,1
ls-3258,female,152.1762089378053,12,1
ls-7556,male,146.44356185928117,12,1
ls-7143,female,152.21376196857602,12,1
ls-5620,male,146.54231417733888,12,1
ls-6359,female,152.28481057653886,12,1
ls-3618,male,146.54920540077836,12,1
ls-3546,female,152.42452996724296,12,1
ls-6912,male,146.55374006034782,12,1
ls-8259,female,152.51087873391745,12,1
ls-3114,male,147.10224253883388,12,1
ls-7079,female,152.97909156658784,12,1
ls-7502,male,147.80816449276682,12,1
ls-5220,female,153.62189163243517,12,1
ls-3783,male,147.8463405896532,12,1
ls-6415,female,153.79647799036061,12,1
ls-1614,male,148.54923038645376,12,1
ls-948,female,154.19210909994467,12,1
ls-6199,male,148.60208336300255,12,1
ls-322,female,154.33178139685106,12,1
ls-6258,male,148.62052797012967,12,1
ls-8625,female,154.3831481557691,12,1
ls-3257,male,148.8566081728747,12,1
ls-5489,female,154.847370822961,12,1
ls-7307,male,149.01399306313607,12,1
ls-1845,female,154.9940952492097,12,1
ls-101,male,149.74046587870757,12,1
ls-1263,female,155.71170950333627,12,1
ls-5460,male,150.65625400350086,12,1
ls-7120,female,156.46709141908946,12,1
ls-7848,male,150.90049520049382,12,1
ls-5007,female,156.85407075686038,12,1
ls-7654,male,150.91485856994012,12,1
ls-5561,female,156.87540264297087,12,1
ls-331,male,151.98054309177041,12,1
ls-8722,female,157.91166932194702,12,1
ls-8356,male,152.1835346115293,12,1
ls-681,female,158.16083069589348,12,1
ls-5252,male,152.71526221328284,12,1
ls-8388,female,158.56237235676886,12,1
ls-2149,male,152.96479245675857,12,1
ls-2581,female,158.92655482388037,12,1
ls-1958,male,153.0232069071158,12,1
ls-2204,female,158.95914317658946,12,1
ls-6377,male,153.22319661313315,12,1
ls-1734,female,159.09417037556653,12,1
ls-7672,male,153.60537817754297,12,1
ls-2638,female,159.5901109572009,12,1
ls-778,male,153.75892454751744,12,1
ls-7026,female,159.59546875448768,12,1
ls-2078,male,153.76015357457956,6,1
ls-2920,female,159.67741011749433,12,1
ls-4406,male,154.11430964386778,12,1
ls-7783,female,159.96728319755823,12,1
ls-7647,male,154.19393167001934,12,1
ls-6590,female,160.0401812483453,12,1
ls-3780,male,155.05736144110992,12,1
ls-4064,female,160.4911274151465,12,1
ls-8459,male,155.5974492467654,12,1
ls-5115,female,160.73432208604567,12,1
ls-3959,male,155.84967593217493,12,1
ls-6735,female,160.8852843380119,12,1
ls-497,male,156.05509353200716,12,1
ls-5796,female,160.90695120326416,12,1
ls-6743,male,156.22761290640466,12,1
ls-7597,female,161.0628599819018,12,1
ls-6956,male,156.26904183367975,12,1
ls-6319,female,161.1709330356358,4,1
ls-7561,male,156.40948390289424,12,1
ls-2374,female,161.1988961979837,12,1
ls-7402,male,156.44160113801405,12,1
ls-1736,female,161.2574749191323,12,1
ls-1867,male,156.45177145149566,12,1
ls-7517,female,161.35523571475102,12,1
ls-4110,male,156.69698402719524,12,1
ls-192,female,161.45296973315112,12,1
ls-8629,male,156.96233313072298,12,1
ls-123,female,161.47474677824363,12,1
ls-5304,male,157.03050332677265,12,1
ls-426,female,161.5641236864118,12,1
ls-7942,male,157.28107537168796,12,1
ls-6038,female,162.09104146647263,12,1
ls-8687,male,157.44686629394465,12,1
ls-3576,female,162.13157058462463,3,1
ls-233,male,157.52486576651359,12,1
ls-7265,female,162.63961893787166,12,1
ls-1743,male,157.71961503590217,12,1
ls-8506,female,162.67064244309742,12,1
ls-6232,male,157.97013857816728,12,1
ls-7994,female,162.72551171927344,12,1
ls-921,male,158.24004095351697,12,1
ls-4481,female,162.72751723657518,12,1
ls-6930,male,159.06082780369766,4,1
ls-4549,female,162.8769065250736,12,1
ls-29,male,159.11107330964407,12,1
ls-3915,female,162.9439243463192,4,1
ls-5186,male,159.6007776492736,12,1
ls-730,female,163.28620452868364,12,1
ls-7732,male,159.80860330303483,12,1
ls-8664,female,163.31996805774065,12,1
ls-3118,male,160.06372382350492,12,1
ls-4744,female,163.44319836252137,12,1
ls-1989,male,160.11975752700067,12,1
ls-1630,female,163.4658269365221,5,1
ls-6482,male,160.83983420194124,12,1
ls-6070,female,163.4884145662182,4,1
ls-7957,male,161.59596700726115,12,1
ls-2882,female,163.70214704761645,12,1
ls-5459,male,162.00632703683678,12,1
ls-7148,female,164.33148809253734,12,1
ls-1355,male,162.65328498925447,12,1
ls-5339,female,164.48379808782977,12,1
ls-712,male,162.77782204397562,12,1
ls-5636,female,164.49448214632048,12,1
ls-2096,male,162.97113724858474,12,1
ls-4289,female,164.76344485047284,12,1
ls-1513,male,163.03817851451223,12,1
ls-1084,female,165.1099554552111,12,1
ls-25,male,163.16411351450967,12,1
ls-8337,female,165.11777927037986,12,1
ls-2240,male,163.28431355352936,12,1
ls-1447,female,165.2039103910524,12,1
ls-7055,male,163.37480555433308,12,1
ls-441,female,165.23980139083096,12,1
ls-5802,male,163.72028755653406,12,1
ls-1284,female,165.47907905923503,7,1
ls-2533,male,163.92916443262436,12,1
ls-2050,female,165.4975661376575,12,1
ls-7096,male,164.00847590405942,12,1
ls-6943,female,165.51374996170114,12,1
ls-2499,male,166.4793602035803,12,1
ls-2085,female,166.47153412670565,12,1
ls-8087,male,166.52468660991002,12,1
ls-4021,female,166.45966805356153,12,1
ls-7796,male,166.67474070653265,12,1
ls-5949,female,166.71188255760703,12,1
ls-374,male,166.98145472446748,12,1
ls-669,female,166.9851739547211,12,1
ls-5700,male,167.98124693127795,12,1
ls-1579,female,167.8962084371358,12,1
ls-4402,male,168.0129174393472,12,1
ls-9022,female,168.07779918454366,12,1
ls-1379,male,168.05450277329007,12,1
ls-774,female,168.09547911206812,12,1
ls-2380,male,168.07960941707245,12,1
ls-6064,female,168.14770032841864,12,1
ls-6753,male,168.8322745865597,12,1
ls-6378,female,168.87096616274448,12,1
ls-2262,male,169.10507337641718,12,1
ls-696,female,169.0733561076035,12,1
ls-551,male,170.7334788871904,12,1
ls-7059,female,170.78050343345143,12,1
ls-4535,male,172.19417220493193,12,1
ls-7552,female,172.1779527203865,12,1
ls-3060,male,172.77161547037747,12,1
ls-7609,female,172.76377846358503,12,1
ls-982,male,173.0018073375934,12,1
ls-4598,female,173.02780417550545,12,1
ls-7085,male,173.3367803954145,12,1
ls-5740,female,173.43987277048365,12,1
ls-8188,male,173.98356577130437,8,1
ls-8415,female,173.8988698920064,12,1
ls-1595,male,175.802239234889,12,1
ls-3909,female,175.84854841489445,12,1
ls-1688,male,177.16233723106043,4,1
ls-2056,female,177.12859706243944,12,1
ls-6076,male,177.66317357982933,12,1
ls-1961,female,177.60290905737085,12,1
ls-6686,male,177.88215380460753,12,1
ls-3314,female,177.86551556976957,12,1
ls-265,male,180.2440636936367,12,1
ls-6082,female,180.25384437960588,12,1
ls-4015,male,182.2964304412551,12,1
ls-8897,female,182.29204947377374,12,1
ls-5123,male,183.51823365721356,12,1
ls-5400,female,183.55627566734384,12,1
ls-3989,male,185.04440994448248,12,1
ls-6749,female,184.9516300184525,12,1
ls-231,male,187.20074732578945,12,1
ls-5019,female,187.15771391232036,12,1
ls-4701,male,188.97832025189908,12,1
ls-199,female,189.04804246275225,12,1
ls-3433,male,194.20302356858798,12,1
