speaker,gender,n_clips,f0,f1,f2,f3,f4
ls-101,male,4,158.96075651817074,558.5375259587493,1907.5116192447313,2675.454641366006,3784.753271235997
ls-1018,male,4,141.91008302258183,572.5837668278449,1906.2911453784777,2859.3197718016936,4000.5524936363354
ls-102,female,4,85.25085797277157,774.934861005698,2055.1643283934036,3268.436415558123,4429.300754963014
ls-1028,male,1,152.83691218288703,420.8677414457493,1506.894262211343,2549.3072855972614,4008.6380784450885
ls-1040,male,3,149.75019510453134,485.097529878272,1586.1613654326334,2584.7510163229676,3709.3856338806318
ls-1050,female,1,177.5021111005143,559.4154686609581,1896.9126780895676,2903.6207691283144,3983.387091577955
ls-1051,female,4,176.48372042670323,558.0974356765312,1772.3176966974024,2568.445042113457,3629.0419596480556
ls-1066,female,4,175.721120763969,436.6459732133292,1720.8036632475923,2700.9060359565915,4121.158926588586
ls-1069,female,1,174.96139550098914,477.2376643712779,1705.0830420934649,3181.31387032822,4353.174684531354
ls-107,male,2,151.4876869851459,362.95616446739336,1617.79713572828,2628.319759163857,4056.3284509659106
ls-1079,female,4,170.87412553760686,544.3195720082549,1649.2147666592218,2821.31074682862,3874.9580876060163
ls-1084,female,4,163.88091867218088,475.0646020367636,1703.1358391184958,2915.5595276446593,4069.7776696469396
ls-1085,male,1,162.85128178286377,702.0764157474041,1819.817250315712,2708.446141556915,3754.543010399526
ls-1093,female,1,179.31048947273158,332.3015593336467,2090.5070612724885,3088.8549551309593,4250.700149150411
ls-1094,male,3,142.5459839579069,380.7169208596003,1502.9342495976744,2590.859289259929,3472.7566413588447
ls-1097,male,4,145.02731571870618,293.24473085152897,1525.8150664018228,2753.3927799674757,3997.614609687105
ls-1098,female,3,168.79398272447062,448.72860592241994,1832.8187958599187,2968.554455533681,4206.8071303719025
ls-110,female,4,172.67195214233112,383.91941515043357,1777.2126194383104,2941.5775456152805,4159.702474055146
ls-1107,male,1,143.2170581955156,454.05795945238464,1667.103442201898,2601.5435477669125,3829.8054580599587
ls-1116,female,2,163.66650851476965,824.5194493283146,2206.762491657917,3045.980755510096,3888.0481237731337
ls-1121,male,4,180.39390601576775,480.96898838794505,1618.6575089028072,2511.1483601811883,3903.6984824030033
ls-1124,female,3,161.0347822584754,665.5272178244393,1900.1832913622184,2825.040489366225,4055.0328889986563
ls-1152,female,4,142.5261000262912,401.4370580137513,1814.3191927886692,2940.0250952934457,4425.761012454613
ls-1154,female,4,170.44238672719106,485.9993802343507,1657.2675016509647,2684.2055896948823,3827.6881625826572
ls-1165,male,4,149.34006038910337,440.6656907866021,1643.3650813568015,2791.0503988929613,3829.552849515428
ls-1166,female,4,171.96486437398227,492.0688073706975,1776.5901103385495,2825.0515619780276,3705.9749803649015
ls-1168,female,3,165.7564752835978,402.9027682281671,1943.7810300792257,2956.7471657026663,4173.816772705049
ls-118,male,4,143.02240341235336,465.2609297078899,1529.2308945668747,2667.9023432678887,3918.0416693683173
ls-1182,male,2,141.12626718587003,560.4004122178677,1670.9912371046084,2783.3705448278033,3651.513442212037
ls-1183,female,1,179.64645523079304,484.6368929292886,2087.46923481778,2994.6049292759953,4111.53906538644
ls-1187,male,1,144.2532128081418,418.9265003883312,1598.811844640683,2537.5808882303263,3800.9453246381836
ls-1212,female,2,178.54876801361968,456.47643845208785,1561.1789234169466,2945.2148790898964,4160.260825235567
